start,end,elapsed
2024-05-13T12:55:59,2024-05-13T12:55:59,0.0066401958465576
2024-05-13T12:56:02,2024-05-13T12:56:02,0.0073878765106201
2024-05-13T12:56:04,2024-05-13T12:56:04,0.0066759586334228
2024-05-13T12:56:07,2024-05-13T12:56:07,0.0069808959960937
2024-05-13T12:56:10,2024-05-13T12:56:10,0.0068199634552001
2024-05-13T12:56:13,2024-05-13T12:56:13,0.0064361095428466
2024-05-13T12:56:27,2024-05-13T12:56:27,0.0067789554595947
2024-05-13T12:56:30,2024-05-13T12:56:30,0.006253957748413
2024-05-13T12:56:33,2024-05-13T12:56:33,0.00636887550354
2024-05-13T12:56:36,2024-05-13T12:56:36,0.00645112991333
2024-05-13T12:56:39,2024-05-13T12:56:39,0.0068080425262451
2024-05-13T12:56:42,2024-05-13T12:56:42,0.0066428184509277
2024-05-13T12:56:45,2024-05-13T12:56:45,0.0066809654235839
2024-05-13T12:56:48,2024-05-13T12:56:48,0.0067880153656005
2024-05-13T12:56:51,2024-05-13T12:56:51,0.0070369243621826
2024-05-13T12:56:53,2024-05-13T12:56:53,0.0067200660705566
2024-05-13T12:56:56,2024-05-13T12:56:56,0.0065500736236572
2024-05-13T12:56:59,2024-05-13T12:56:59,0.0068278312683105
2024-05-13T12:57:02,2024-05-13T12:57:02,0.0065069198608398
2024-05-13T12:57:05,2024-05-13T12:57:05,0.006545066833496
2024-05-13T12:57:08,2024-05-13T12:57:08,0.0067200660705566
2024-05-13T12:57:27,2024-05-13T12:57:27,0.0067348480224609
2024-05-13T12:57:30,2024-05-13T12:57:30,0.0067660808563232
2024-05-13T12:57:33,2024-05-13T12:57:33,0.006692886352539
2024-05-13T12:57:36,2024-05-13T12:57:36,0.0064449310302734
2024-05-13T12:57:39,2024-05-13T12:57:39,0.0066268444061279
2024-05-13T12:57:42,2024-05-13T12:57:42,0.0071499347686767
2024-05-13T12:57:44,2024-05-13T12:57:44,0.0067968368530273
2024-05-13T12:57:47,2024-05-13T12:57:47,0.0072729587554931
2024-05-13T12:57:50,2024-05-13T12:57:50,0.0065898895263671
2024-05-13T12:57:53,2024-05-13T12:57:53,0.0063869953155517
2024-05-13T12:57:56,2024-05-13T12:57:56,0.00626802444458
2024-05-13T12:57:59,2024-05-13T12:57:59,0.0068180561065673
2024-05-13T12:58:02,2024-05-13T12:58:02,0.0067889690399169
2024-05-13T12:58:05,2024-05-13T12:58:05,0.0070738792419433
2024-05-13T12:58:08,2024-05-13T12:58:08,0.0066211223602294
2024-05-13T12:58:11,2024-05-13T12:58:11,0.0079710483551025
2024-05-13T12:58:14,2024-05-13T12:58:14,0.006580114364624
2024-05-13T12:58:27,2024-05-13T12:58:27,0.0064620971679687
2024-05-13T12:58:30,2024-05-13T12:58:30,0.0068140029907226
2024-05-13T12:58:33,2024-05-13T12:58:33,0.0069141387939453
2024-05-13T12:58:35,2024-05-13T12:58:35,0.0095500946044921
2024-05-13T12:58:38,2024-05-13T12:58:38,0.0069091320037841
2024-05-13T12:58:41,2024-05-13T12:58:41,0.0065560340881347
2024-05-13T12:58:44,2024-05-13T12:58:44,0.0065701007843017
2024-05-13T12:58:47,2024-05-13T12:58:47,0.0072669982910156
2024-05-13T12:58:50,2024-05-13T12:58:50,0.0066380500793457
2024-05-13T12:58:53,2024-05-13T12:58:53,0.007016897201538
2024-05-13T12:58:55,2024-05-13T12:58:55,0.0066449642181396
