start,end,elapsed
2025-08-28T06:29:06,2025-08-28T06:29:16,9.621376991271973
2025-08-28T06:29:20,2025-08-28T06:29:29,8.930449962615967
2025-08-28T06:29:33,2025-08-28T06:29:43,9.452253103256226
2025-08-28T06:29:47,2025-08-28T06:29:57,9.684110879898071
2025-08-28T06:30:01,2025-08-28T06:30:10,9.38007378578186
2025-08-28T06:30:15,2025-08-28T06:30:24,9.63312292098999
2025-08-28T06:30:28,2025-08-28T06:30:38,9.832872152328491
2025-08-28T06:30:43,2025-08-28T06:30:53,10.05953288078308
2025-08-28T06:30:57,2025-08-28T06:31:07,9.688723802566528
2025-08-28T06:31:11,2025-08-28T06:31:21,9.613499879837036
2025-08-28T06:31:25,2025-08-28T06:31:35,9.407523155212402
2025-08-28T06:31:39,2025-08-28T06:31:49,9.737483024597168
2025-08-28T06:31:53,2025-08-28T06:32:03,9.485918998718262
2025-08-28T06:32:07,2025-08-28T06:32:17,9.668159008026125
2025-08-28T06:32:21,2025-08-28T06:32:31,9.939425945281982
2025-08-28T06:32:36,2025-08-28T06:32:45,9.867598056793211
2025-08-28T06:32:50,2025-08-28T06:33:00,9.94201397895813
2025-08-28T06:33:04,2025-08-28T06:33:13,9.164145946502686
2025-08-28T06:33:18,2025-08-28T06:33:28,10.010091066360474
2025-08-28T06:33:32,2025-08-28T06:33:42,10.337024927139282
2025-08-28T06:33:47,2025-08-28T06:33:56,9.688448190689089
2025-08-28T06:34:01,2025-08-28T06:34:10,9.09773087501526
2025-08-28T06:34:14,2025-08-28T06:34:24,9.755425930023192
2025-08-28T06:34:28,2025-08-28T06:34:38,10.025372982025146
2025-08-28T06:34:43,2025-08-28T06:34:52,9.502970933914185
2025-08-28T06:34:57,2025-08-28T06:35:07,9.85024094581604
2025-08-28T06:35:11,2025-08-28T06:35:21,10.018383979797363
2025-08-28T06:35:25,2025-08-28T06:35:35,9.9459810256958
2025-08-28T06:35:39,2025-08-28T06:35:49,9.915556907653809
2025-08-28T06:35:54,2025-08-28T06:36:03,9.74075412750244
2025-08-28T06:36:08,2025-08-28T06:36:17,9.519352197647097
2025-08-28T06:36:22,2025-08-28T06:36:32,10.043447017669678
2025-08-28T06:36:36,2025-08-28T06:36:45,8.952783107757568
2025-08-28T06:36:50,2025-08-28T06:36:59,9.471873044967651
2025-08-28T06:37:03,2025-08-28T06:37:13,10.04190707206726
2025-08-28T06:37:18,2025-08-28T06:37:28,10.059931993484495
2025-08-28T06:37:32,2025-08-28T06:37:41,9.137012958526611
2025-08-28T06:37:45,2025-08-28T06:37:55,9.255255937576294
2025-08-28T06:37:59,2025-08-28T06:38:09,9.746333122253418
2025-08-28T06:38:13,2025-08-28T06:38:23,10.145586013793944
2025-08-28T06:38:28,2025-08-28T06:38:37,9.885977983474731
2025-08-28T06:38:42,2025-08-28T06:38:52,10.09893798828125
2025-08-28T06:38:57,2025-08-28T06:39:07,9.972240924835203
2025-08-28T06:39:11,2025-08-28T06:39:21,9.893136024475098
2025-08-28T06:39:25,2025-08-28T06:39:35,10.09938907623291
2025-08-28T06:39:39,2025-08-28T06:39:48,9.055503845214844
2025-08-28T06:39:53,2025-08-28T06:40:02,9.374608039855955
2025-08-28T06:40:07,2025-08-28T06:40:15,8.909747838973999
2025-08-28T06:40:20,2025-08-28T06:40:29,9.161234140396118
2025-08-28T06:40:33,2025-08-28T06:40:43,9.86795687675476
2025-08-28T06:40:47,2025-08-28T06:40:56,8.954102039337158
2025-08-28T06:41:01,2025-08-28T06:41:11,9.86317014694214
2025-08-28T06:41:15,2025-08-28T06:41:25,9.935143947601318
2025-08-28T06:41:29,2025-08-28T06:41:39,9.838426113128662
2025-08-28T06:41:43,2025-08-28T06:41:53,9.611487865447998
2025-08-28T06:41:57,2025-08-28T06:42:06,8.825077056884766
2025-08-28T06:42:10,2025-08-28T06:42:20,9.513455152511597
2025-08-28T06:42:24,2025-08-28T06:42:33,8.976523160934448
2025-08-28T06:42:37,2025-08-28T06:42:46,9.49670696258545
2025-08-28T06:42:51,2025-08-28T06:43:00,9.57092308998108
2025-08-28T06:43:05,2025-08-28T06:43:14,9.55903697013855
2025-08-28T06:43:18,2025-08-28T06:43:28,9.903902053833008
2025-08-28T06:43:33,2025-08-28T06:43:43,10.166156768798828
2025-08-28T06:43:47,2025-08-28T06:43:56,8.923243045806885
2025-08-28T06:44:00,2025-08-28T06:44:10,9.43590211868286
2025-08-28T06:44:14,2025-08-28T06:44:24,10.085227012634276
2025-08-28T06:44:28,2025-08-28T06:44:38,9.595617055892944
2025-08-28T06:44:43,2025-08-28T06:44:52,9.86765193939209
2025-08-28T06:44:57,2025-08-28T06:45:07,9.79980492591858
2025-08-28T06:45:11,2025-08-28T06:45:21,9.979854106903076
2025-08-28T06:45:25,2025-08-28T06:45:35,9.488278865814207
2025-08-28T06:45:39,2025-08-28T06:45:49,9.657505989074709
2025-08-28T06:45:53,2025-08-28T06:46:03,9.815629959106444
2025-08-28T06:46:08,2025-08-28T06:46:18,10.330847024917604
2025-08-28T06:46:23,2025-08-28T06:46:33,9.953536033630373
2025-08-28T06:46:37,2025-08-28T06:46:47,9.809372901916504
2025-08-28T06:46:51,2025-08-28T06:47:01,10.20939803123474
2025-08-28T06:47:06,2025-08-28T06:47:16,9.601917028427124
2025-08-28T06:47:20,2025-08-28T06:47:29,9.467849969863892
2025-08-28T06:47:34,2025-08-28T06:47:44,10.268141984939575
2025-08-28T06:47:48,2025-08-28T06:47:58,9.769975900650024
2025-08-28T06:48:03,2025-08-28T06:48:13,9.99339199066162
2025-08-28T06:48:17,2025-08-28T06:48:27,9.923732042312622
2025-08-28T06:48:31,2025-08-28T06:48:41,10.15730881690979
2025-08-28T06:48:46,2025-08-28T06:48:55,9.622529983520508
2025-08-28T06:48:59,2025-08-28T06:49:09,9.973679065704346
2025-08-28T06:49:14,2025-08-28T06:49:24,10.049767971038818
2025-08-28T06:49:28,2025-08-28T06:49:38,9.734148979187012
2025-08-28T06:49:42,2025-08-28T06:49:53,10.259711027145386
2025-08-28T06:49:57,2025-08-28T06:50:07,10.211464166641235
2025-08-28T06:50:12,2025-08-28T06:50:22,10.118175983428957
2025-08-28T06:50:26,2025-08-28T06:50:35,9.282831192016602
2025-08-28T06:50:40,2025-08-28T06:50:50,9.836988925933838
2025-08-28T06:50:54,2025-08-28T06:51:04,9.540247201919556
2025-08-28T06:51:08,2025-08-28T06:51:18,9.548434972763062
2025-08-28T06:51:22,2025-08-28T06:51:31,9.124145030975342
2025-08-28T06:51:35,2025-08-28T06:51:44,9.099460124969482
2025-08-28T06:51:49,2025-08-28T06:51:58,9.514359951019289
2025-08-28T06:52:02,2025-08-28T06:52:11,9.055757999420166
2025-08-28T06:52:16,2025-08-28T06:52:25,9.422714948654175
