start,end,elapsed
2024-04-22T15:47:01,2024-04-22T15:47:01,0.0073359012603759
2024-04-22T15:47:01,2024-04-22T15:47:01,0.0074830055236816
2024-04-22T15:47:02,2024-04-22T15:47:02,0.0076029300689697
2024-04-22T15:47:03,2024-04-22T15:47:03,0.0082910060882568
2024-04-22T15:47:04,2024-04-22T15:47:04,0.0095050334930419
2024-04-22T15:47:05,2024-04-22T15:47:05,0.008897066116333
2024-04-22T15:47:06,2024-04-22T15:47:06,0.0076150894165039
2024-04-22T15:47:06,2024-04-22T15:47:06,0.0087471008300781
2024-04-22T15:47:07,2024-04-22T15:47:07,0.0071580410003662
2024-04-22T15:47:08,2024-04-22T15:47:08,0.0074198246002197
2024-04-22T15:47:09,2024-04-22T15:47:09,0.0076839923858642
2024-04-22T15:47:10,2024-04-22T15:47:10,0.0087099075317382
2024-04-22T15:47:11,2024-04-22T15:47:11,0.0098888874053955
2024-04-22T15:47:11,2024-04-22T15:47:11,0.010571002960205
2024-04-22T15:47:12,2024-04-22T15:47:12,0.0077250003814697
2024-04-22T15:47:13,2024-04-22T15:47:13,0.0075559616088867
2024-04-22T15:47:14,2024-04-22T15:47:14,0.0075879096984863
2024-04-22T15:47:15,2024-04-22T15:47:15,0.0079538822174072
2024-04-22T15:47:16,2024-04-22T15:47:16,0.007037878036499
2024-04-22T15:47:17,2024-04-22T15:47:17,0.0090959072113037
2024-04-22T15:47:17,2024-04-22T15:47:17,0.0084939002990722
2024-04-22T15:47:18,2024-04-22T15:47:18,0.0082948207855224
2024-04-22T15:47:19,2024-04-22T15:47:19,0.007138967514038
2024-04-22T15:47:21,2024-04-22T15:47:21,0.0074291229248046
2024-04-22T15:47:22,2024-04-22T15:47:22,0.007322072982788
2024-04-22T15:47:23,2024-04-22T15:47:23,0.0073268413543701
2024-04-22T15:47:24,2024-04-22T15:47:24,0.0073409080505371
2024-04-22T15:47:25,2024-04-22T15:47:25,0.0075209140777587
2024-04-22T15:47:26,2024-04-22T15:47:26,0.0080640316009521
2024-04-22T15:47:26,2024-04-22T15:47:26,0.0073339939117431
2024-04-22T15:47:27,2024-04-22T15:47:27,0.007228136062622
2024-04-22T15:47:28,2024-04-22T15:47:28,0.007390022277832
2024-04-22T15:47:29,2024-04-22T15:47:29,0.0071439743041992
2024-04-22T15:47:30,2024-04-22T15:47:30,0.0081691741943359
2024-04-22T15:47:31,2024-04-22T15:47:31,0.0073118209838867
2024-04-22T15:47:32,2024-04-22T15:47:32,0.0071039199829101
2024-04-22T15:47:32,2024-04-22T15:47:32,0.0100359916687011
2024-04-22T15:47:33,2024-04-22T15:47:33,0.0071561336517333
2024-04-22T15:47:34,2024-04-22T15:47:34,0.0080020427703857
2024-04-22T15:47:35,2024-04-22T15:47:35,0.0076351165771484
2024-04-22T15:47:36,2024-04-22T15:47:36,0.0073738098144531
2024-04-22T15:47:37,2024-04-22T15:47:37,0.0076329708099365
2024-04-22T15:47:38,2024-04-22T15:47:38,0.0075471401214599
2024-04-22T15:47:39,2024-04-22T15:47:39,0.0072579383850097
2024-04-22T15:47:40,2024-04-22T15:47:40,0.0081510543823242
2024-04-22T15:47:40,2024-04-22T15:47:40,0.008350133895874
2024-04-22T15:47:41,2024-04-22T15:47:41,0.0076119899749755
2024-04-22T15:47:42,2024-04-22T15:47:42,0.0082058906555175
2024-04-22T15:47:43,2024-04-22T15:47:43,0.0079729557037353
2024-04-22T15:47:44,2024-04-22T15:47:44,0.0091559886932373
2024-04-22T15:47:45,2024-04-22T15:47:45,0.0074458122253417
2024-04-22T15:47:46,2024-04-22T15:47:46,0.0083589553833007
2024-04-22T15:47:47,2024-04-22T15:47:47,0.0106139183044433
2024-04-22T15:47:48,2024-04-22T15:47:48,0.0081739425659179
2024-04-22T15:47:49,2024-04-22T15:47:49,0.007714033126831
2024-04-22T15:47:50,2024-04-22T15:47:50,0.0070540904998779
2024-04-22T15:47:51,2024-04-22T15:47:51,0.0076830387115478
2024-04-22T15:47:51,2024-04-22T15:47:51,0.0075190067291259
2024-04-22T15:47:52,2024-04-22T15:47:52,0.0073268413543701
2024-04-22T15:47:53,2024-04-22T15:47:53,0.007361888885498
2024-04-22T15:47:54,2024-04-22T15:47:54,0.0075879096984863
2024-04-22T15:47:55,2024-04-22T15:47:55,0.0076038837432861
2024-04-22T15:47:56,2024-04-22T15:47:56,0.0070500373840332
2024-04-22T15:47:57,2024-04-22T15:47:57,0.0071899890899658
2024-04-22T15:47:58,2024-04-22T15:47:58,0.0075199604034423
2024-04-22T15:47:58,2024-04-22T15:47:58,0.0071971416473388
2024-04-22T15:47:59,2024-04-22T15:47:59,0.0084140300750732
2024-04-22T15:48:00,2024-04-22T15:48:00,0.0076069831848144
2024-04-22T15:48:01,2024-04-22T15:48:01,0.0073668956756591
2024-04-22T15:48:02,2024-04-22T15:48:02,0.0076308250427246
2024-04-22T15:48:03,2024-04-22T15:48:03,0.0076980590820312
2024-04-22T15:48:04,2024-04-22T15:48:04,0.008059024810791
2024-04-22T15:48:05,2024-04-22T15:48:05,0.0077850818634033
2024-04-22T15:48:06,2024-04-22T15:48:06,0.0071001052856445
2024-04-22T15:48:06,2024-04-22T15:48:06,0.0071010589599609
2024-04-22T15:48:07,2024-04-22T15:48:07,0.0075609683990478
2024-04-22T15:48:08,2024-04-22T15:48:08,0.0081079006195068
2024-04-22T15:48:09,2024-04-22T15:48:09,0.0074529647827148
2024-04-22T15:48:10,2024-04-22T15:48:10,0.0079798698425292
2024-04-22T15:48:11,2024-04-22T15:48:11,0.0077321529388427
2024-04-22T15:48:12,2024-04-22T15:48:12,0.0073318481445312
2024-04-22T15:48:13,2024-04-22T15:48:13,0.00944185256958
2024-04-22T15:48:13,2024-04-22T15:48:13,0.0076868534088134
2024-04-22T15:48:15,2024-04-22T15:48:15,0.00968599319458
2024-04-22T15:48:15,2024-04-22T15:48:15,0.007002830505371
2024-04-22T15:48:16,2024-04-22T15:48:16,0.0075228214263916
2024-04-22T15:48:17,2024-04-22T15:48:17,0.0072300434112548
2024-04-22T15:48:18,2024-04-22T15:48:18,0.0074820518493652
2024-04-22T15:48:19,2024-04-22T15:48:19,0.0074269771575927
2024-04-22T15:48:20,2024-04-22T15:48:20,0.0079419612884521
2024-04-22T15:48:21,2024-04-22T15:48:21,0.0079450607299804
2024-04-22T15:48:21,2024-04-22T15:48:21,0.0072278976440429
2024-04-22T15:48:22,2024-04-22T15:48:22,0.0076899528503417
2024-04-22T15:48:23,2024-04-22T15:48:23,0.007761001586914
2024-04-22T15:48:24,2024-04-22T15:48:24,0.0075719356536865
2024-04-22T15:48:25,2024-04-22T15:48:25,0.0073049068450927
2024-04-22T15:48:26,2024-04-22T15:48:26,0.0073721408843994
2024-04-22T15:48:27,2024-04-22T15:48:27,0.007634162902832
2024-04-22T15:48:28,2024-04-22T15:48:28,0.0091300010681152
2024-04-22T15:48:29,2024-04-22T15:48:29,0.008151054382324219
